worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
A3QAHF4UUBM7ZO,0,go,250,90,90,1,622
A3QAHF4UUBM7ZO,0,go,250,77,77,1,519
A3QAHF4UUBM7ZO,0,go,250,77,77,1,491
A3QAHF4UUBM7ZO,0,go,250,77,77,1,389
A3QAHF4UUBM7ZO,0,go,250,77,77,1,314
A3QAHF4UUBM7ZO,0,go,250,90,77,0,405
A3QAHF4UUBM7ZO,0,stop,250,-1,90,0,460
A3QAHF4UUBM7ZO,0,stop,200,-1,-1,1,-1
A3QAHF4UUBM7ZO,0,go,250,90,90,1,462
A3QAHF4UUBM7ZO,0,go,250,77,77,1,583
A3QAHF4UUBM7ZO,0,go,250,77,77,1,786
A3QAHF4UUBM7ZO,0,go,250,77,77,1,462
A3QAHF4UUBM7ZO,0,stop,250,-1,-1,1,-1
A3QAHF4UUBM7ZO,0,stop,300,-1,-1,1,-1
A3QAHF4UUBM7ZO,0,go,350,77,77,1,718
A3QAHF4UUBM7ZO,0,go,350,90,90,1,696
A3QAHF4UUBM7ZO,0,go,350,90,90,1,565
A3QAHF4UUBM7ZO,0,go,350,77,77,1,544
A3QAHF4UUBM7ZO,0,go,350,90,90,1,544
A3QAHF4UUBM7ZO,0,stop,350,-1,90,0,695
A3QAHF4UUBM7ZO,0,go,300,77,77,1,614
A3QAHF4UUBM7ZO,0,stop,300,-1,-1,1,-1
A3QAHF4UUBM7ZO,0,go,350,90,77,0,651
A3QAHF4UUBM7ZO,0,go,350,90,90,1,628
A3QAHF4UUBM7ZO,0,go,350,77,77,1,415
A3QAHF4UUBM7ZO,0,stop,350,-1,90,0,464
A3QAHF4UUBM7ZO,0,go,300,90,90,1,752
A3QAHF4UUBM7ZO,0,go,300,90,90,1,748
A3QAHF4UUBM7ZO,0,stop,300,-1,-1,1,-1
A3QAHF4UUBM7ZO,0,stop,350,-1,77,0,566
A3QAHF4UUBM7ZO,0,stop,300,-1,77,0,497
A3QAHF4UUBM7ZO,0,go,250,90,90,1,575
A3QAHF4UUBM7ZO,0,stop,250,-1,-1,1,-1
A3QAHF4UUBM7ZO,0,go,300,90,90,1,606
A3QAHF4UUBM7ZO,0,go,300,90,90,1,479
A3QAHF4UUBM7ZO,0,go,300,90,90,1,546
A3QAHF4UUBM7ZO,0,go,300,77,77,1,556
A3QAHF4UUBM7ZO,0,go,300,77,77,1,479
A3QAHF4UUBM7ZO,0,go,300,77,77,1,400
A3QAHF4UUBM7ZO,0,stop,300,-1,77,0,429
A3QAHF4UUBM7ZO,0,stop,250,-1,90,0,411
A3QAHF4UUBM7ZO,0,go,200,77,77,1,672
