Subject,Block,TrialType,GoTrialResponse,GoTrialCorrectResponse,StopTrialResponse,StopSignalDelay,GoRT,StopFailureRT,StopTrialCorrectResponse,response,CorrectChoiceResponse
1,3,go,m,M,,,765.0,,,m,m
1,3,go,m,M,,,405.0,,,m,m
1,3,stop,,,,50.0,,0.0,M,,m
1,3,go,m,M,,,453.0,,,m,m
1,3,go,z,Z,,,444.0,,,z,z
1,3,go,m,M,,,484.0,,,m,m
1,3,go,z,Z,,,556.0,,,z,z
1,3,go,z,Z,,,484.0,,,z,z
1,3,go,z,Z,,,603.0,,,z,z
1,3,go,z,Z,,,499.0,,,z,z
1,3,stop,,,,400.0,,0.0,M,,m
1,3,go,z,Z,,,535.0,,,z,z
1,3,go,z,Z,,,511.0,,,z,z
1,3,go,z,Z,,,519.0,,,z,z
1,3,go,z,Z,,,494.0,,,z,z
1,3,go,m,M,,,566.0,,,m,m
1,3,go,m,M,,,542.0,,,m,m
1,3,go,m,M,,,774.0,,,m,m
1,3,stop,,,z,400.0,,494.0,Z,z,z
1,3,go,z,Z,,,501.0,,,z,z
1,3,stop,,,,300.0,,0.0,M,,m
1,3,go,m,M,,,485.0,,,m,m
1,3,stop,,,,500.0,,0.0,Z,,z
1,3,go,m,M,,,581.0,,,m,m
1,3,go,z,Z,,,444.0,,,z,z
1,3,go,z,Z,,,692.0,,,z,z
1,3,go,z,Z,,,508.0,,,z,z
1,3,go,z,Z,,,548.0,,,z,z
1,3,stop,,,,150.0,,0.0,Z,,z
1,3,stop,,,,100.0,,0.0,M,,m
1,3,go,m,M,,,571.0,,,m,m
1,3,stop,,,,50.0,,0.0,M,,m
1,3,go,z,Z,,,554.0,,,z,z
1,3,go,m,M,,,593.0,,,m,m
1,3,stop,,,,150.0,,0.0,Z,,z
1,3,go,m,M,,,577.0,,,m,m
1,3,go,z,Z,,,457.0,,,z,z
1,3,stop,,,z,250.0,,353.0,Z,z,z
1,3,go,z,Z,,,472.0,,,z,z
1,3,go,z,Z,,,416.0,,,z,z
1,3,go,m,M,,,536.0,,,m,m
1,3,go,z,Z,,,608.0,,,z,z
1,3,stop,,,,100.0,,0.0,M,,m
1,3,go,m,M,,,619.0,,,m,m
1,3,go,z,Z,,,323.0,,,z,z
1,3,go,m,M,,,683.0,,,m,m
1,3,go,z,Z,,,562.0,,,z,z
1,3,go,m,M,,,682.0,,,m,m
1,3,go,z,Z,,,434.0,,,z,z
1,3,stop,,,,100.0,,0.0,M,,m
1,3,go,z,Z,,,450.0,,,z,z
1,3,go,m,M,,,585.0,,,m,m
1,3,go,m,M,,,465.0,,,m,m
1,3,go,z,Z,,,329.0,,,z,z
1,3,stop,,,z,400.0,,579.0,Z,z,z
1,3,go,z,Z,,,504.0,,,z,z
1,3,go,m,M,,,560.0,,,m,m
