worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
s264,0,go,250,90,90,1,622
s264,0,go,250,77,77,1,519
s264,0,go,250,77,77,1,491
s264,0,go,250,77,77,1,389
s264,0,go,250,77,77,1,314
s264,0,go,250,90,77,0,405
s264,0,stop,250,-1,90,0,460
s264,0,stop,200,-1,-1,1,-1
s264,0,go,250,90,90,1,462
s264,0,go,250,77,77,1,583
s264,0,go,250,77,77,1,786
s264,0,go,250,77,77,1,462
s264,0,stop,250,-1,-1,1,-1
s264,0,stop,300,-1,-1,1,-1
s264,0,go,350,77,77,1,718
s264,0,go,350,90,90,1,696
s264,0,go,350,90,90,1,565
s264,0,go,350,77,77,1,544
s264,0,go,350,90,90,1,544
s264,0,stop,350,-1,90,0,695
s264,0,go,300,77,77,1,614
s264,0,stop,300,-1,-1,1,-1
s264,0,go,350,90,77,0,651
s264,0,go,350,90,90,1,628
s264,0,go,350,77,77,1,415
s264,0,stop,350,-1,90,0,464
s264,0,go,300,90,90,1,752
s264,0,go,300,90,90,1,748
s264,0,stop,300,-1,-1,1,-1
s264,0,stop,350,-1,77,0,566
s264,0,stop,300,-1,77,0,497
s264,0,go,250,90,90,1,575
s264,0,stop,250,-1,-1,1,-1
s264,0,go,300,90,90,1,606
s264,0,go,300,90,90,1,479
s264,0,go,300,90,90,1,546
s264,0,go,300,77,77,1,556
s264,0,go,300,77,77,1,479
s264,0,go,300,77,77,1,400
s264,0,stop,300,-1,77,0,429
s264,0,stop,250,-1,90,0,411
s264,0,go,200,77,77,1,672
s264,0,stop,200,-1,-1,1,-1
s264,0,stop,250,-1,90,0,520
s264,0,go,200,90,90,1,477
s264,0,stop,200,-1,-1,1,-1
s264,0,go,250,77,77,1,584
s264,0,go,250,90,90,1,713
s264,1,stop,250,-1,-1,1,-1
s264,1,go,300,90,90,1,658
s264,1,go,300,77,77,1,583
s264,1,go,300,90,77,0,630
s264,1,go,300,90,90,1,499
s264,1,go,300,77,77,1,618
s264,1,go,300,90,90,1,682
s264,1,stop,300,-1,77,0,539
s264,1,stop,250,-1,-1,1,-1
s264,1,go,300,90,90,1,750
s264,1,go,300,90,90,1,632
s264,1,stop,300,-1,-1,1,-1
