SS_delay,SS_duration,SS_stimulus,SS_trial_type,att_check_percent,block_duration,correct,correct_response,original_correcttrial,current_block,current_trial,exp_id,go_acc,key_press,possible_responses,rt,stim,stim_duration,stop_acc,stop_signal_condition,time_elapsed,timing_post_trial,trial_id,worker_id,correct_trial
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,1.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",622,circle,1000.0,,go,98287,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,2.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",519,square,1000.0,,go,100791,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,3.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",491,square,1000.0,,go,103296,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,4.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",389,square,1000.0,,go,105801,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,5.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",314,square,1000.0,,go,108307,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,0.0,0.0,6.0,stop_signal_single_task_network,0.0,77.0,"[90, 77]",405,circle,1000.0,,go,110812,0.0,test_trial,A3QAHF4UUBM7ZO,0
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,7.0,stop_signal_single_task_network,,90.0,"[90, 77]",460,circle,1000.0,0.0,stop,113315,0.0,test_trial,A3QAHF4UUBM7ZO,0
200.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,8.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,square,1000.0,1.0,stop,115819,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,9.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",462,circle,1000.0,,go,118324,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,10.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",583,square,1000.0,,go,120829,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,11.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",786,square,1000.0,,go,123335,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,12.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",462,square,1000.0,,go,125839,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,13.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,128343,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,14.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,square,1000.0,1.0,stop,130847,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,15.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",718,square,1000.0,,go,133352,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,16.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",696,circle,1000.0,,go,135855,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,17.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",565,circle,1000.0,,go,138360,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,18.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",544,square,1000.0,,go,140867,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,19.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",544,circle,1000.0,,go,143371,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,20.0,stop_signal_single_task_network,,90.0,"[90, 77]",695,circle,1000.0,0.0,stop,145876,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,21.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",614,square,1000.0,,go,148380,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,22.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,150884,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,0.0,0.0,23.0,stop_signal_single_task_network,0.0,77.0,"[90, 77]",651,circle,1000.0,,go,153388,0.0,test_trial,A3QAHF4UUBM7ZO,0
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,24.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",628,circle,1000.0,,go,155894,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,25.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",415,square,1000.0,,go,158398,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,26.0,stop_signal_single_task_network,,90.0,"[90, 77]",464,circle,1000.0,0.0,stop,160903,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,27.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",752,circle,1000.0,,go,163406,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,28.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",748,circle,1000.0,,go,165910,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,29.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,square,1000.0,1.0,stop,168414,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,30.0,stop_signal_single_task_network,,77.0,"[90, 77]",566,square,1000.0,0.0,stop,170918,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,31.0,stop_signal_single_task_network,,77.0,"[90, 77]",497,square,1000.0,0.0,stop,173424,0.0,test_trial,A3QAHF4UUBM7ZO,0
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,32.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",575,circle,1000.0,,go,175928,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,33.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,178432,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,34.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",606,circle,1000.0,,go,180935,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,35.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",479,circle,1000.0,,go,183441,0.0,test_trial,A3QAHF4UUBM7ZO,1
